mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
1.01744,0.054405205,1.0188936,0.365,33.556675,-5.5692005,51.907204,0.006,1.01744,1.0295,0.0,0.9825396,0.0029599264,1.037,0.672,0,Dataset_Smooth.csv
1.0301,0.00420119,1.0301086,0.019,-0.23339759,-0.0055070617,53.056183,0.00575,1.0301,1.03,0.0,0.990489,1.765e-05,1.04,1.021,0,Dataset_Smooth.csv
1.03102,0.12569638,1.0386539,0.701,3.4165847,0.75431824,53.94009,0.01225,1.03102,1.03,0.0,0.7222906,0.01579958,1.438,0.737,0,Dataset_Smooth.csv
0.99756,0.15733546,1.0098913,0.814,1.2073623,0.2628936,50.99402,0.10725,0.99756,1.025,0.0,0.7022888,0.024754446,1.438,0.624,0,Dataset_Smooth.csv
1.03514,0.34960067,1.092582,1.787,2.569034,1.2308903,59.68677,0.22075,1.03514,1.025,0.0,0.546291,0.12222064,2.0,0.213,1,Dataset_Smooth.csv
1.0517,0.38716376,1.1207001,1.8,1.5068758,0.7762165,62.79843,0.21875,1.0517,1.029,0.0,0.56035006,0.14989577,2.0,0.2,1,Dataset_Smooth.csv
1.0139,0.28078434,1.0520613,1.8,4.535105,0.7700477,55.341652,0.09175,1.0139,1.03,0.0,0.52603066,0.07883985,2.0,0.2,1,Dataset_Smooth.csv
0.98636,0.45206818,1.0850215,2.079,0.7703265,0.17188625,58.863583,0.369,0.98952,0.9985,0.04,0.54251075,0.20436563,2.0,0.023,1,Dataset_Smooth.csv
0.9514,0.5624004,1.105195,2.495,0.12576279,0.0050375005,61.072807,0.606,0.97436,0.9275,0.06,0.5525975,0.3162942,2.0,0.023,1,Dataset_Smooth.csv
1.00038,0.40713614,1.0800556,2.495,4.0390334,-0.48227713,58.326,0.14175,1.02018,1.0255,0.04,0.5400278,0.16575983,2.0,0.129,1,Dataset_Smooth.csv
1.05114,0.33532926,1.1033318,1.947,2.3095138,0.3567764,60.86705,0.2405,1.05114,1.028,0.0,0.5516659,0.11244572,2.0,0.053,1,Dataset_Smooth.csv
0.96972,0.46333352,1.0747255,2.069,0.51135814,0.18539189,57.751743,0.42575,0.97248,1.0225,0.04,0.53736275,0.21467796,2.0,0.038,1,Dataset_Smooth.csv
0.94252,0.45989677,1.0487368,2.924,5.521356,-1.2085103,54.99245,0.2055,0.98224,1.027,0.08,0.5243684,0.21150506,2.0,0.038,1,Dataset_Smooth.csv
1.03576,0.43425313,1.1231093,2.924,8.041739,-1.54291,63.06873,0.1905,1.07272,1.0315,0.04,0.5615547,0.18857579,2.0,0.257,1,Dataset_Smooth.csv
1.08392,0.35369098,1.1401666,1.743,1.5452405,0.43700123,64.99899,0.258,1.08392,1.03,0.0,0.5700833,0.12509732,2.0,0.257,1,Dataset_Smooth.csv
